2023-01-29 20:34:28,471 p=2544951 u=david n=ansible | PLAY [Kubeadm initialization] *********************************************************************************************************************************
2023-01-29 20:34:28,482 p=2544951 u=david n=ansible | TASK [Gathering Facts] ****************************************************************************************************************************************
2023-01-29 20:34:31,610 p=2544951 u=david n=ansible | ok: [rpmaster]
2023-01-29 20:34:31,641 p=2544951 u=david n=ansible | TASK [Initialize] *********************************************************************************************************************************************
2023-01-29 20:34:48,456 p=2544951 u=david n=ansible |  [ERROR]: User interrupted execution

2023-01-30 10:32:48,394 p=2591517 u=david n=ansible | PLAY [Machines in all /etc/hosts file] ************************************************************************************************************************
2023-01-30 10:32:48,406 p=2591517 u=david n=ansible | TASK [Gathering Facts] ****************************************************************************************************************************************
2023-01-30 10:32:53,926 p=2591517 u=david n=ansible | ok: [rpmaster]
2023-01-30 10:32:53,945 p=2591517 u=david n=ansible | TASK [Append all hosts] ***************************************************************************************************************************************
2023-01-30 10:32:54,903 p=2591517 u=david n=ansible | changed: [rpmaster]
2023-01-30 10:32:54,926 p=2591517 u=david n=ansible | PLAY RECAP ****************************************************************************************************************************************************
2023-01-30 10:32:54,926 p=2591517 u=david n=ansible | rpmaster                   : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 10:33:56,391 p=2591626 u=david n=ansible | PLAY [Machines in all /etc/hosts file] ************************************************************************************************************************
2023-01-30 10:33:56,404 p=2591626 u=david n=ansible | TASK [Gathering Facts] ****************************************************************************************************************************************
2023-01-30 10:34:01,934 p=2591626 u=david n=ansible | ok: [rpnode1]
2023-01-30 10:34:01,977 p=2591626 u=david n=ansible | ok: [rpnode2]
2023-01-30 10:34:07,231 p=2591626 u=david n=ansible | ok: [rpnode4]
2023-01-30 10:34:07,236 p=2591626 u=david n=ansible | ok: [rpnode3]
2023-01-30 10:34:07,266 p=2591626 u=david n=ansible | TASK [Append all hosts] ***************************************************************************************************************************************
2023-01-30 10:34:08,202 p=2591626 u=david n=ansible | changed: [rpnode1]
2023-01-30 10:34:08,212 p=2591626 u=david n=ansible | changed: [rpnode2]
2023-01-30 10:34:08,962 p=2591626 u=david n=ansible | changed: [rpnode4]
2023-01-30 10:34:08,968 p=2591626 u=david n=ansible | changed: [rpnode3]
2023-01-30 10:34:08,986 p=2591626 u=david n=ansible | PLAY RECAP ****************************************************************************************************************************************************
2023-01-30 10:34:08,987 p=2591626 u=david n=ansible | rpnode1                    : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 10:34:08,987 p=2591626 u=david n=ansible | rpnode2                    : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 10:34:08,987 p=2591626 u=david n=ansible | rpnode3                    : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 10:34:08,987 p=2591626 u=david n=ansible | rpnode4                    : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-01-30 10:35:00,831 p=2591811 u=david n=ansible | PLAY [Provision Raspberry Pi nodes for Kubeadm installation] **************************************************************************************************
2023-01-30 10:35:00,844 p=2591811 u=david n=ansible | TASK [Gathering Facts] ****************************************************************************************************************************************
2023-01-30 10:35:03,988 p=2591811 u=david n=ansible | ok: [rpnode2]
2023-01-30 10:35:03,994 p=2591811 u=david n=ansible | ok: [rpnode1]
2023-01-30 10:35:05,847 p=2591811 u=david n=ansible | ok: [rpmaster]
2023-01-30 10:35:06,563 p=2591811 u=david n=ansible | ok: [rpnode4]
2023-01-30 10:35:06,591 p=2591811 u=david n=ansible | ok: [rpnode3]
2023-01-30 10:35:06,613 p=2591811 u=david n=ansible | TASK [Update the Ubuntu servers] ******************************************************************************************************************************
2023-01-30 10:35:36,993 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 10:35:39,080 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 10:35:40,167 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 10:36:08,165 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 10:36:10,753 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 10:36:10,774 p=2591811 u=david n=ansible | TASK [Upgrade Ubuntu System Packages] *************************************************************************************************************************
2023-01-30 10:46:05,660 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 10:46:06,603 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 10:46:09,078 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 10:54:51,000 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 10:57:10,154 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 10:57:10,171 p=2591811 u=david n=ansible | TASK [Reboot] *************************************************************************************************************************************************
2023-01-30 10:57:54,041 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 10:57:58,678 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 10:57:58,765 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 10:58:20,006 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 10:58:23,401 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 10:58:23,418 p=2591811 u=david n=ansible | TASK [Install a list of packages] *****************************************************************************************************************************
2023-01-30 10:58:48,185 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 10:58:48,381 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 10:58:48,387 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 10:59:11,020 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 10:59:11,147 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 10:59:11,161 p=2591811 u=david n=ansible | TASK [remove k8s.gpg file (for idempotency)] ******************************************************************************************************************
2023-01-30 10:59:12,111 p=2591811 u=david n=ansible | ok: [rpmaster]
2023-01-30 10:59:12,113 p=2591811 u=david n=ansible | ok: [rpnode1]
2023-01-30 10:59:12,115 p=2591811 u=david n=ansible | ok: [rpnode2]
2023-01-30 10:59:12,873 p=2591811 u=david n=ansible | ok: [rpnode3]
2023-01-30 10:59:12,875 p=2591811 u=david n=ansible | ok: [rpnode4]
2023-01-30 10:59:12,886 p=2591811 u=david n=ansible | TASK [Set up to get Kubernetes packages] **********************************************************************************************************************
